Financial Year,period,lost_customer_hours,period_end,month,avg_max_temp,avg_min_temp,total_rainfall,avg_sunshine,avg_humidity
2015/16,7,1642032.5199999989,2015-10-17,2015-10-01,156.38709677419354,92.58064516129032,398.0,30.387096774193548,82.19354838709677
2016/17,7,1970358.1000000027,2016-10-15,2016-10-01,158.19354838709677,86.48387096774194,216.0,34.064516129032256,80.2258064516129
2017/18,7,2598105.71,2017-10-14,2017-10-01,169.7741935483871,103.41935483870968,92.0,27.29032258064516,79.80645161290323
2018/19,7,2436016.470000002,2018-10-13,2018-10-01,163.3548387096774,84.64516129032258,610.0,44.193548387096776,78.2258064516129
2019/20,7,3892832.8599999975,2019-09-15,2019-10-01,153.0,86.38709677419355,928.0,23.870967741935484,83.35483870967742
2011/12,8,2054498.6899999997,2011-11-12,2011-11-01,134.73333333333332,72.53333333333333,290.0,17.5,87.13333333333334
2012/13,8,1656899.1,2012-11-10,2012-11-01,108.26666666666667,45.8,718.0,25.133333333333333,85.5
2013/14,8,1932918.5900000005,2013-11-09,2013-11-01,102.46666666666667,46.86666666666667,500.0,26.8,81.83333333333333
2014/15,8,1449503.3400000003,2014-11-08,2014-11-01,121.53333333333333,68.73333333333333,1284.0,17.033333333333335,87.73333333333333
2015/16,8,1523639.3500000003,2015-11-14,2015-11-01,134.7,79.53333333333333,482.0,9.233333333333333,85.93103448275862
2016/17,8,2269090.899999994,2016-11-12,2016-11-01,103.63333333333334,37.93333333333333,864.0,25.8,83.7
2017/18,8,2278197.490000004,2017-11-11,2017-11-01,108.36666666666666,44.93333333333333,342.0,22.233333333333334,82.1
2018/19,8,2821205.5700000064,2018-11-10,2018-11-01,122.9,58.46666666666667,738.0,24.3,85.3
2019/20,8,4456402.46999999,2019-10-13,2019-11-01,100.06666666666666,43.0,748.0,17.1,88.4
2011/12,9,1989066.3599999999,2011-12-10,2011-12-01,99.48387096774194,37.87096774193548,630.0,19.548387096774192,81.25806451612904
2012/13,9,1726293.9099999992,2012-12-08,2012-12-01,90.38709677419355,26.06451612903226,958.0,18.70967741935484,85.96774193548387
2013/14,9,1731746.68,2013-12-07,2013-12-01,102.61290322580645,35.354838709677416,982.0,16.548387096774192,83.80645161290323
2014/15,9,1794841.9099999997,2014-12-06,2014-12-01,93.54838709677419,29.64516129032258,378.0,23.096774193548388,81.90322580645162
2015/16,9,1697719.5300000005,2015-12-12,2015-12-01,135.19354838709677,88.51612903225806,394.0,11.290322580645162,83.93548387096774
2016/17,9,4613543.760000003,2016-12-10,2016-12-01,103.03225806451613,34.064516129032256,104.0,17.774193548387096,88.74193548387096
2017/18,9,2782575.5599999945,2017-12-09,2017-12-01,86.83870967741936,28.903225806451612,812.0,14.129032258064516,85.61290322580645
2018/19,9,2627007.370000004,2018-12-08,2018-12-01,105.6774193548387,51.54838709677419,606.0,13.0,86.35483870967742
2019/20,9,4893440.720000005,2019-11-10,2019-12-01,101.80645161290323,39.54838709677419,896.0,18.129032258064516,86.45161290322581
2011/12,10,2043901.29,2012-01-07,2012-01-01,94.58064516129032,34.354838709677416,344.0,22.096774193548388,80.48387096774194
2012/13,10,1461084.34,2013-01-05,2013-01-01,65.29032258064517,20.161290322580644,501.0,11.129032258064516,85.16129032258064
2013/14,10,1420964.1999999997,2014-01-04,2014-01-01,98.80645161290323,37.54838709677419,1624.0,22.032258064516128,85.41935483870968
2014/15,10,1165181.6800000002,2015-01-03,2015-01-01,85.70967741935483,16.322580645161292,634.0,20.0,80.82142857142857
2015/16,10,808159.9200000002,2016-01-09,2016-01-01,96.06451612903226,30.29032258064516,748.0,17.677419354838708,86.83870967741936
2016/17,10,2378655.340000009,2017-01-07,2017-01-01,76.38709677419355,6.645161290322581,602.0,20.806451612903224,86.29032258064517
2017/18,10,2232045.4399999967,2018-01-06,2018-01-01,96.41935483870968,38.03225806451613,580.0,15.0,83.89285714285714
2018/19,10,1813386.8099999991,2019-01-05,2019-01-01,73.70967741935483,19.870967741935484,332.0,18.193548387096776,80.0
2019/20,10,3134041.7699999968,2019-12-08,2020-01-01,102.29032258064517,46.935483870967744,476.0,16.225806451612904,85.93548387096774
2011/12,11,2073883.6899999997,2012-02-04,2012-02-01,83.27586206896552,13.275862068965518,168.0,29.275862068965516,76.6896551724138
2012/13,11,1831202.0799999998,2013-02-02,2013-02-01,66.39285714285714,12.142857142857142,328.0,23.178571428571427,78.03571428571429
2013/14,11,1522309.9600000004,2014-02-01,2014-02-01,106.0,44.357142857142854,898.0,32.75,77.33333333333333
2014/15,11,1513254.2599999995,2015-01-31,2015-01-01,85.70967741935483,16.322580645161292,634.0,20.0,80.82142857142857
2015/16,11,1505232.3700000003,2016-02-06,2016-02-01,93.17241379310344,28.620689655172413,438.0,29.93103448275862,77.93103448275862
2016/17,11,2440100.5300000007,2017-02-04,2017-02-01,99.39285714285714,44.392857142857146,382.0,17.071428571428573,85.35714285714286
2017/18,11,2450385.5500000003,2018-02-03,2018-02-01,64.75,6.392857142857143,290.0,32.857142857142854,75.61538461538461
2018/19,11,2315609.179999999,2019-02-02,2019-02-01,127.14285714285714,32.714285714285715,342.0,42.92857142857143,81.53571428571429
2019/20,11,2974395.2400000053,2020-01-05,2020-02-01,110.17241379310344,43.275862068965516,998.0,21.379310344827587,79.44827586206897
2011/12,12,2604341.45,2012-03-03,2012-03-01,146.41935483870967,46.935483870967744,162.0,58.16129032258065,73.70967741935483
2012/13,12,1709469.3000000007,2013-03-02,2013-03-01,68.80645161290323,12.161290322580646,528.0,20.096774193548388,76.19354838709677
2013/14,12,4932055.700000001,2014-03-01,2014-03-01,144.0,43.74193548387097,278.0,52.064516129032256,71.83870967741936
2014/15,12,1447953.6200000006,2015-02-28,2015-02-01,82.35714285714286,17.5,386.0,22.821428571428573,79.70370370370371
2015/16,12,1496334.0400000003,2016-03-05,2016-03-01,107.25806451612904,32.354838709677416,728.0,39.774193548387096,78.29032258064517
2016/17,12,2233237.5899999975,2017-03-04,2017-03-01,143.41935483870967,66.25806451612904,258.0,37.516129032258064,76.54838709677419
2017/18,12,3014668.990000004,2018-03-03,2018-03-01,100.7741935483871,30.032258064516128,812.0,22.677419354838708,80.16129032258064
2018/19,12,2414351.6499999966,2019-03-02,2019-03-01,132.29032258064515,58.45161290322581,496.0,38.38709677419355,74.38709677419355
2019/20,12,3563947.849999991,2020-02-02,2020-02-01,110.17241379310344,43.275862068965516,998.0,21.379310344827587,79.44827586206897
2011/12,13,1997430.9299999995,2012-03-31,2012-03-01,146.41935483870967,46.935483870967744,162.0,58.16129032258065,73.70967741935483
2012/13,13,1815753.6600000001,2013-03-31,2013-03-01,68.80645161290323,12.161290322580646,528.0,20.096774193548388,76.19354838709677
2013/14,13,1467235.2000000002,2014-03-31,2014-03-01,144.0,43.74193548387097,278.0,52.064516129032256,71.83870967741936
2014/15,13,1331204.0000000002,2015-03-31,2015-03-01,115.96774193548387,41.03225806451613,240.0,45.38709677419355,71.3225806451613
2015/16,13,1847728.6199999987,2016-03-31,2016-03-01,107.25806451612904,32.354838709677416,728.0,39.774193548387096,78.29032258064517
2016/17,13,2032259.4699999967,2017-03-31,2017-03-01,143.41935483870967,66.25806451612904,258.0,37.516129032258064,76.54838709677419
2017/18,13,2795361.4899999984,2018-03-31,2018-03-01,100.7741935483871,30.032258064516128,812.0,22.677419354838708,80.16129032258064
2018/19,13,2552718.079999996,2019-03-31,2019-03-01,132.29032258064515,58.45161290322581,496.0,38.38709677419355,74.38709677419355
